Index,Weight(Pounds)
3,153.0269
23,97.90191
31,103.3016
57,155.8987
69,103.5275
74,102.8351
83,155.3767
101,102.0927
104,98.64133
139,151.3913
157,158.9562
190,101.4693
210,155.9414
250,84.3598
273,100.627
284,102.8114
286,100.9758
288,155.3046
294,92.74955
312,151.9118
333,150.7397
362,152.0714
368,168.229
379,100.6617
405,151.0695
447,162.4109
463,153.0797
473,93.99438
519,101.8549
534,157.2961
566,150.7365
590,153.5634
599,154.1073
612,151.4167
630,98.8972
667,153.1384
677,155.0132
694,150.9398
699,95.20216
701,152.9146
726,102.182
728,83.08527
734,95.70426
766,151.6121
821,103.5665
822,156.1069
869,151.3998
871,156.7554
877,151.0783
886,153.9993
912,153.6966
924,99.92383
960,153.3153
990,103.5828
1023,98.30262
1046,160.8831
1078,101.2876
1115,151.3579
1181,99.97124
1184,103.6594
1189,102.5494
1214,103.3615
1236,158.7833
1242,102.4998
1245,100.1982
1272,95.18466
1287,102.93
1292,102.4047
1325,158.7993
1326,103.1971
1333,162.8737
1344,96.52385
1363,159.6644
1374,100.4089
1378,151.3435
1390,99.36058
1417,151.4509
1429,100.5991
1433,90.29334
1436,154.0757
1449,154.8178
1450,151.9248
1455,154.6002
1495,102.8468
1517,95.80713
1518,152.9084
1524,153.5447
1727,94.51219
1825,152.1776
1923,151.3939
1953,151.5925
2010,90.91793
2024,159.2724
2049,101.6217
2075,157.9626
2092,100.2532
2099,94.29987
2135,157.6149
2139,152.0527
2215,156.5442
2259,93.44115
2293,153.0286
2325,152.127
2330,101.4527
2335,151.2788
2368,102.5002
2379,101.1193
2398,101.2434
2415,151.4206
2467,154.9408
2482,153.9562
2486,90.6784
2488,101.8528
2491,157.2751
2493,102.5247
2495,156.3703
2499,155.2615
2519,98.05813
2549,102.4259
2592,151.9696
2603,98.05815
2621,93.78282
2652,88.04646
2700,156.353
2706,151.6868
2708,102.5237
2736,160.8859
2774,151.713
2791,94.21971
2797,97.02574
2805,150.9213
2819,97.04078
2873,100.2365
2939,103.455
2968,102.6336
3010,151.9596
3049,150.4434
3052,152.1525
3102,94.61233
3124,151.6437
3163,156.2465
3223,157.659
3237,153.9969
3254,99.51504
3285,155.7074
3348,100.7527
3370,153.6515
3371,155.869
3378,154.5701
3402,102.8549
3457,101.9139
3474,100.3696
3493,152.9847
3516,84.86345
3535,152.1181
3552,97.84025
3579,151.614
3586,99.27518
3588,151.548
3598,92.37513
3611,97.79781
3631,151.0354
3646,156.3537
3680,101.3305
3685,101.0513
3697,95.74545
3721,157.6543
3743,156.1101
3760,157.3486
3783,151.5436
3791,155.0882
3841,159.8542
3867,102.9057
3871,151.5781
3887,102.086
3892,151.933
3924,162.1526
3994,102.3817
4004,151.5006
4034,101.8479
4040,157.9877
4054,162.0645
4094,99.66224
4099,101.7777
4180,101.3328
4216,152.4615
4218,152.9883
4265,101.615
4344,168.881
4362,102.1079
4364,151.474
4378,152.901
4390,98.39409
4400,154.3787
4419,99.56439
4423,151.6764
4432,99.76986
4447,151.4922
4460,95.88791
4461,158.3578
4475,157.078
4510,102.7518
4523,100.9973
4579,103.7011
4605,150.847
4625,166.3016
4661,155.8502
4721,155.9981
4745,103.049
4766,153.0572
4785,97.8247
4869,152.1104
4871,102.7788
4880,102.6027
4942,155.3163
4991,159.3608
5004,159.9758
5009,160.0364
5030,151.0506
5039,101.2994
5046,98.28455
5076,151.1334
5101,157.0989
5234,99.29265
5247,101.0402
5285,158.2521
5286,101.8393
5308,151.3674
5309,150.9294
5367,86.982
5373,155.6063
5395,166.2812
5402,100.455
5423,100.9173
5439,103.4218
5453,93.29146
5467,92.65767
5475,102.5086
5515,102.8732
5520,154.97
5537,102.4825
5558,152.3984
5569,150.9046
5573,156.7309
5579,101.461
5587,157.4235
5617,153.9204
5626,151.6467
5699,97.85054
5706,86.669
5763,101.2648
5767,156.5556
5781,151.6654
5788,101.3587
5795,150.4973
5842,92.08858
5874,161.7266
5892,152.651
5933,151.7165
5973,102.342
5990,99.78213
6067,100.025
6108,153.3002
6112,155.9849
6119,165.7172
6129,152.1767
6144,150.5262
6147,151.8922
6155,159.2435
6181,96.54815
6188,158.2326
6199,94.59876
6203,151.1615
6247,152.9133
6251,151.4986
6255,98.38391
6257,91.26068
6274,100.5445
6343,157.5443
6348,86.49925
6365,93.09256
6366,153.1117
6367,153.6386
6379,152.8499
6385,164.5588
6395,102.3802
6399,159.2052
6406,94.80998
6418,102.8575
6419,103.4353
6423,101.0851
6439,92.20107
6482,99.81074
6486,154.2642
6494,152.4262
6506,102.5063
6507,163.8992
6518,98.00565
6523,152.4782
6525,155.4037
6535,103.6805
6548,103.7061
6589,100.8881
6668,102.657
6706,103.6644
6744,103.6091
6793,97.06459
6832,152.5436
6836,100.3573
6850,100.2395
6876,153.3295
6888,151.0629
6918,100.38
6939,100.7711
6947,102.0192
6955,100.8983
6973,150.9399
7000,100.1673
7051,154.0956
7064,153.8047
7072,99.65617
7132,102.0683
7136,151.4865
7142,153.9191
7151,152.3875
7152,101.7823
7157,100.8383
7180,152.5737
7198,151.3699
7199,103.0898
7205,97.38482
7210,152.882
7227,157.414
7257,150.4959
7321,88.81051
7334,156.0944
7398,97.5369
7404,100.0056
7407,155.3977
7418,90.03145
7437,101.3696
7440,99.18847
7488,153.8939
7505,154.3167
7599,103.413
7621,94.93893
7656,154.3757
7665,98.47908
7672,152.5009
7713,103.3546
7737,155.452
7787,101.7983
7793,102.0057
7805,102.687
7806,159.3967
7824,152.6344
7835,159.7844
7864,150.4786
7882,150.618
7927,103.6353
7932,156.5971
7940,154.4947
7997,169.1268
8009,152.6168
8040,151.7634
8089,103.0865
8102,101.9669
8125,91.8085
8129,152.0833
8130,100.2743
8151,91.25752
8156,151.879
8193,99.0744
8219,155.0439
8278,154.5031
8315,99.69835
8318,84.26295
8328,159.4608
8336,155.7617
8375,94.21964
8377,100.2388
8415,90.16983
8418,95.73883
8432,161.6214
8447,102.6498
8497,153.339
8518,151.8206
8526,156.4056
8556,150.4439
8604,158.4771
8608,97.83008
8612,151.8387
8638,102.8583
8642,103.6839
8690,103.3027
8698,152.1123
8699,101.8952
8740,151.2938
8753,160.9728
8795,97.61996
8796,99.90975
8807,100.9
8845,152.929
8865,102.9535
8880,102.3152
8916,103.6181
8921,93.44279
8956,96.03438
8970,154.9503
8975,154.9403
9037,154.6918
9137,157.8629
9160,153.9188
9175,103.0118
9214,152.9562
9226,153.1022
9240,160.4111
9246,94.98665
9285,100.154
9333,101.7546
9344,99.76843
9377,159.9584
9400,152.6424
9421,151.2249
9426,153.6723
9428,95.71141
9454,160.2278
9455,154.2345
9464,96.68665
9467,156.9797
9495,96.02104
9509,101.3276
9539,100.3741
9549,100.4477
9587,151.6563
9595,93.75301
9641,151.4362
9672,154.7341
9683,159.8926
9689,159.3021
9723,156.4495
9727,151.4754
9731,98.7457
9733,152.4888
9789,98.47799
9799,151.263
9824,165.8716
9837,100.0283
9841,151.9512
9866,157.8304
9919,159.961
9926,165.815
9953,101.9583
9958,162.3663
9968,151.3634
9978,155.58
9984,96.50653
9987,101.9043
10027,96.43706
10061,100.0924
10102,153.457
10112,155.4236
10197,101.9022
10205,100.585
10235,170.924
10241,85.2904
10294,102.0383
10298,154.8517
10312,152.5435
10326,155.8189
10331,164.6643
10334,154.0079
10406,98.74301
10410,152.7759
10441,99.07691
10458,96.47744
10471,102.3802
10478,89.64885
10489,152.8456
10502,96.67888
10506,156.8464
10539,99.74502
10545,157.4503
10596,152.4418
10605,160.4871
10632,98.9001
10687,100.5898
10700,155.0082
10711,151.4674
10721,153.3639
10743,152.6969
10745,101.7955
10764,151.1101
10787,150.5891
10793,152.2569
10862,97.60294
10867,103.3172
10891,155.0147
10893,155.6542
10906,150.6921
10912,96.64915
10918,150.7782
10929,103.2192
10949,156.4566
10953,99.24033
10984,103.1035
11039,153.5749
11056,151.926
11081,99.82706
11102,150.7507
11153,96.74634
11164,161.3014
11189,99.8475
11196,94.96925
11206,102.0226
11241,97.54695
11352,92.95851
11353,100.0969
11361,158.5864
11369,101.8813
11386,97.59535
11402,94.80076
11437,150.6201
11451,103.2679
11452,91.91782
11486,90.53995
11520,101.7174
11521,92.82921
11559,151.9319
11567,154.2355
11589,150.6553
11607,98.10936
11748,151.5058
11754,166.7687
11756,151.926
11764,154.5964
11806,159.966
11820,162.0943
11845,152.3587
11884,150.9784
11915,153.2032
11936,103.4764
11951,93.96913
11967,102.562
11971,152.4285
11975,166.1956
12083,151.1571
12091,154.0255
12140,158.4821
12157,100.1148
12179,101.3363
12180,103.4722
12193,103.4745
12203,153.3825
12236,151.5482
12242,156.3417
12259,156.1811
12261,152.4301
12290,98.73281
12295,101.6524
12298,103.7516
12323,152.7421
12328,103.6848
12398,100.9385
12404,102.6906
12447,87.3791
12550,100.557
12553,154.9924
12577,99.72601
12613,96.11534
12629,157.6616
12651,154.024
12654,157.8664
12655,152.7149
12700,91.22631
12725,92.59193
12728,155.7563
12732,89.1971
12743,103.6491
12744,95.01295
12749,101.1344
12776,101.5315
12778,100.7474
12805,103.3949
12834,152.714
12867,101.3054
12869,102.3367
12884,167.8045
12932,150.9456
12937,99.80369
12955,153.6931
13008,101.8559
13049,155.2243
13062,150.5807
13074,101.159
13141,151.2357
13159,101.8834
13176,156.698
13186,151.5249
13243,103.4251
13251,98.27368
13285,153.1741
13288,99.81515
13327,151.7222
13334,100.5481
13336,98.96049
13339,154.7801
13357,150.798
13369,97.81632
13375,100.447
13388,96.98373
13409,155.7611
13449,155.8226
13455,102.8837
13508,153.5616
13513,153.1047
13525,100.9581
13541,102.5589
13574,152.4923
13575,102.1984
13583,152.3574
13585,150.5015
13608,156.5445
13609,157.7481
13625,153.9626
13646,154.5974
13676,156.6047
13682,155.5462
13707,91.79628
13739,165.4348
13760,152.6402
13762,97.03296
13771,102.8829
13808,100.993
13826,102.788
13875,100.6523
13876,103.7386
13963,154.9343
13971,157.8066
13973,103.0198
14019,100.181
14106,103.1333
14107,78.56785
14117,96.95428
14217,150.6544
14307,159.4214
14347,99.16114
14351,150.4801
14368,152.5129
14371,100.4395
14372,101.8313
14399,90.24255
14403,101.6976
14406,100.3062
14411,103.4902
14413,150.4042
14446,103.0317
14451,157.2972
14463,99.99409
14465,98.26427
14483,154.9613
14502,155.1755
14515,162.4844
14531,150.9437
14557,102.0506
14588,99.56696
14600,103.2442
14645,151.3173
14654,150.4834
14694,152.425
14714,103.3323
14728,94.45359
14746,151.8017
14747,100.3424
14756,160.8373
14778,150.4875
14799,158.5479
14800,154.6609
14820,97.52424
14834,156.2505
14838,160.1136
14851,100.0358
14865,154.8632
14903,95.36862
14922,97.29027
14954,153.2031
14999,154.8623
15006,83.33859
15022,98.87507
15041,102.7244
15057,100.9191
15086,100.3788
15094,102.6267
15098,163.8728
15111,92.31443
15161,101.1571
15200,102.6406
15216,151.8863
15289,99.00428
15334,102.193
15356,150.7238
15382,150.545
15418,102.5937
15470,95.8643
15475,163.3466
15491,158.7778
15502,153.6943
15523,154.2153
15537,93.56304
15545,152.0826
15547,101.6548
15582,102.2036
15594,154.5079
15620,152.026
15621,150.4723
15673,103.7247
15716,150.5403
15736,102.6185
15785,100.3488
15918,96.94675
15971,156.4888
16015,154.1866
16033,102.3968
16038,158.2312
16059,93.85997
16064,151.6632
16103,157.4164
16124,101.6407
16127,164.5865
16128,150.9348
16162,99.15936
16163,151.417
16170,151.1216
16199,93.77605
16210,99.61482
16242,157.1014
16301,100.505
16314,151.7394
16315,100.1656
16330,97.85324
16380,96.18308
16399,153.5097
16428,151.5744
16448,160.6929
16477,161.2538
16492,96.56954
16498,100.7525
16510,98.28103
16553,90.67684
16560,102.0816
16565,96.76496
16585,151.6078
16628,161.0088
16636,103.1117
16659,160.9951
16667,152.8963
16686,155.5572
16696,151.0733
16707,97.61486
16709,151.5938
16721,151.3009
16726,151.5471
16741,155.3236
16765,151.672
16769,153.7847
16774,103.6442
16795,152.4115
16826,102.4555
16830,150.7492
16886,94.05081
16970,97.01374
17002,103.2639
17020,152.0369
17036,93.14015
17045,102.6064
17049,103.0959
17075,155.8501
17079,100.1526
17080,170.5479
17083,152.8346
17105,153.339
17115,97.5587
17118,95.53404
17141,98.44388
17148,153.9203
17155,102.0212
17171,151.6827
17193,102.9622
17222,154.3139
17248,155.8602
17264,92.91629
17266,89.82395
17278,153.7224
17320,154.6305
17323,151.1432
17331,99.50583
17359,102.0376
17376,101.9516
17379,94.18679
17390,96.09962
17412,154.869
17445,151.222
17493,102.0889
17505,152.3623
17513,152.2089
17583,154.7542
17599,90.28757
17600,103.7244
17602,150.5815
17613,100.9845
17616,154.5352
17647,100.095
17659,103.5604
17669,101.0071
17691,155.5272
17728,99.24041
17744,154.3603
17759,103.4226
17763,99.86461
17792,152.5065
17813,103.6782
17815,102.611
17846,101.6088
17866,150.925
17886,150.7738
17887,103.0751
17890,154.935
17892,103.3069
17899,150.8598
17958,153.0546
17974,102.4448
18050,152.0604
18061,152.4405
18066,103.4991
18109,100.6786
18116,103.3628
18153,100.0013
18189,98.21334
18256,98.99675
18282,102.6734
18327,153.4923
18346,160.6777
18357,102.465
18404,154.5036
18424,97.99029
18438,100.4529
18443,96.39088
18472,101.3705
18473,98.70684
18475,151.2058
18538,95.71513
18562,154.1861
18580,100.1749
18596,102.2823
18597,100.292
18610,151.5014
18611,95.82746
18647,100.7746
18671,152.8868
18677,152.6473
18683,93.4895
18689,94.24776
18694,154.0204
18699,155.6269
18705,100.2383
18714,157.2045
18717,153.2106
18718,152.2564
18725,155.5237
18754,155.4769
18755,150.7134
18760,101.0707
18810,154.4117
18831,152.1248
18836,102.3607
18856,100.1432
18880,95.6685
18913,150.5264
18955,101.1195
18962,100.5823
18967,98.13857
18996,100.2631
19016,103.0616
19043,153.3498
19055,100.3805
19066,150.8629
19081,150.7673
19123,103.4506
19154,157.3854
19170,98.01516
19199,100.9391
19204,88.16618
19214,152.8404
19231,100.7205
19243,99.05577
19249,103.1257
19272,154.7509
19278,153.4537
19316,100.1453
19325,154.9873
19354,103.2811
19364,101.792
19375,98.47485
19384,103.2335
19395,97.43419
19400,151.9111
19410,102.5225
19415,152.6479
19421,150.8899
19427,96.29756
19439,150.7427
19471,161.4436
19473,91.57279
19479,100.8997
19491,103.3739
19541,96.00666
19545,152.5282
19572,151.9062
19612,152.0741
19662,102.8782
19665,100.402
19680,100.6123
19691,156.2241
19771,156.2319
19799,155.874
19825,161.906
19830,154.6366
19844,156.9321
19855,89.95606
19867,103.6644
19872,97.69037
19874,102.8629
19889,155.8943
19905,150.7738
19927,153.494
19928,152.2727
19946,151.569
19949,97.30055
19972,98.2528
20003,161.0239
20015,98.95785
20024,152.8693
20035,99.104
20085,99.33579
20087,101.7311
20097,154.7671
20123,103.5093
20142,150.4715
20155,150.4496
20162,100.5167
20171,150.6268
20188,151.4387
20201,102.6161
20222,96.99228
20223,97.49168
20243,103.3526
20277,97.6209
20283,154.6085
20309,165.69
20344,156.3107
20354,153.4787
20355,93.13802
20392,92.23364
20469,155.9683
20471,96.84397
20512,102.8787
20519,101.0392
20543,152.3325
20580,100.3371
20598,153.0944
20635,101.1876
20655,99.21333
20677,100.8179
20693,101.9503
20724,101.2957
20737,157.1585
20758,98.04174
20763,94.20537
20780,153.7886
20816,99.77933
20824,102.7885
20832,151.5916
20885,103.5978
20945,99.13368
20954,101.1071
20998,151.2393
21008,164.4539
21013,156.0802
21038,97.1995
21039,155.1414
21046,155.2221
21055,156.0959
21073,152.2908
21090,158.0299
21102,85.98927
21104,103.521
21136,96.69205
21154,159.105
21196,150.6044
21199,102.4585
21220,95.09752
21295,153.8989
21304,102.4978
21359,92.72194
21365,103.4807
21366,154.9609
21389,157.9292
21406,103.2453
21433,150.9736
21455,103.0731
21471,103.0628
21556,153.9411
21557,98.68208
21561,101.9952
21582,151.8248
21633,103.5775
21643,150.7596
21670,153.6546
21680,100.9124
21684,100.974
21691,151.2576
21695,151.3353
21706,100.3418
21715,157.9704
21723,101.3936
21746,157.9236
21786,159.2503
21832,102.3229
21856,103.1791
21859,150.8735
21900,152.2417
21934,97.14789
21944,102.2607
21945,94.26051
21958,151.567
21964,101.8629
22002,103.166
22009,152.9261
22011,153.6557
22024,153.0783
22026,151.4389
22037,157.3921
22058,153.2173
22080,153.3804
22085,103.3567
22087,153.8792
22138,154.4557
22139,152.5295
22145,96.822
22164,150.7817
22195,95.27771
22200,101.1566
22228,153.4104
22248,150.7064
22283,91.37972
22284,92.55327
22364,159.438
22434,159.1321
22466,102.4131
22468,102.8806
22481,102.8488
22486,152.0325
22508,96.8142
22536,102.1817
22562,161.072
22616,153.4343
22618,96.09124
22638,151.5039
22639,156.0008
22663,153.2208
22710,103.2602
22714,150.7569
22739,87.80417
22773,152.4869
22786,102.3371
22787,101.4857
22818,101.6002
22868,151.1659
22876,103.3826
22926,101.0972
22946,78.01476
22972,102.3792
22977,102.0817
22983,100.6039
23004,155.6909
23007,100.3754
23040,154.3987
23067,95.14852
23078,160.4327
23088,154.2702
23095,159.7426
23098,101.3858
23133,157.4647
23181,100.9973
23209,156.8531
23248,151.3256
23273,94.12903
23299,102.2394
23325,153.7945
23335,152.7026
23338,101.6115
23339,102.2017
23345,160.0595
23351,157.1449
23358,152.5077
23388,151.3078
23406,102.794
23414,100.3255
23424,153.277
23426,96.36193
23437,151.4337
23513,152.6253
23545,94.7257
23548,154.9474
23686,98.57059
23709,152.7356
23725,151.3727
23735,95.63814
23754,103.2365
23760,94.51209
23772,96.91718
23793,152.056
23807,99.10252
23867,98.9372
23872,103.4199
23889,151.1236
23897,154.3189
23914,155.5583
23923,154.2652
23928,153.5111
23934,152.3259
23948,101.9472
23967,102.9907
24006,156.5212
24029,153.1772
24035,100.8841
24082,150.4398
24101,151.8397
24111,96.06788
24135,103.4864
24145,156.0098
24188,161.8504
24223,103.6524
24228,98.53013
24300,100.1102
24335,97.71783
24338,103.3388
24339,101.6749
24379,96.55141
24390,156.6534
24394,100.1129
24429,151.5456
24457,153.1035
24462,100.9189
24486,154.9778
24487,103.3397
24593,156.2682
24611,82.38298
24622,100.6414
24630,155.8277
24640,101.3046
24645,152.795
24692,99.60932
24698,151.2378
24749,95.95417
24751,159.6344
24762,150.7636
24771,150.9049
24778,99.40058
24811,101.1775
24836,94.40946
24853,97.80735
24869,97.99816
24890,161.8532
24927,154.4811
24931,99.42378
24948,154.7821
24981,154.4399
24989,103.381
